               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,             0.02582,             0.12241,                   0,             0.87094,             0.91867,             0.92869,             0.65885,            0.023783,             0.11092,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.026251,             0.12728,                   0,             0.87334,             0.92486,             0.92797,             0.64936,            0.023926,             0.11463,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.026424,             0.12839,                   0,             0.85801,             0.91334,             0.92973,             0.65012,            0.025053,             0.11961,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.025953,             0.12302,                   0,             0.87096,             0.93794,             0.93045,             0.64062,            0.025608,             0.12115,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.025957,             0.12159,                   0,             0.87421,             0.92525,             0.93441,              0.6606,            0.024632,             0.11845,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.026129,             0.12531,                   0,             0.87428,             0.92586,             0.93305,             0.65792,            0.024387,             0.11671,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.025171,             0.12062,                   0,             0.88436,             0.92292,              0.9335,              0.6611,            0.024595,              0.1149,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.025643,              0.1221,                   0,             0.87276,             0.92687,             0.92918,              0.6607,            0.024426,             0.11441,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.025724,             0.12427,                   0,             0.87266,             0.94294,             0.93394,             0.66219,            0.024599,             0.11708,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.024795,             0.11563,                   0,             0.88886,             0.90591,             0.92867,             0.66062,             0.02469,             0.11741,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.025083,             0.11951,                   0,              0.8766,             0.91019,             0.92371,             0.65449,            0.025052,             0.11854,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.025335,             0.11964,                   0,             0.87178,             0.92561,             0.92661,             0.66199,            0.024391,             0.11333,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.024732,             0.11338,                   0,             0.86845,             0.93393,             0.91895,             0.64877,            0.025889,             0.11653,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.024674,             0.11235,                   0,             0.87201,             0.92748,             0.92551,             0.65898,              0.0254,             0.11624,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024901,              0.1172,                   0,             0.87612,             0.91892,             0.92956,             0.66792,            0.024192,              0.1147,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.025324,             0.12263,                   0,             0.87468,             0.92492,             0.92767,              0.6508,            0.025165,              0.1206,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.025111,             0.12302,                   0,              0.8638,             0.92685,             0.92534,             0.66031,             0.02456,             0.11881,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.024993,             0.11813,                   0,             0.87708,             0.92893,             0.92406,             0.66344,            0.024079,             0.11603,                   0,            0.001684,            0.001684,            0.001684
